mean_prob,observed_rate,n,model
0.01492409359474451,0.04524886877828054,884,HistGradientBoosting__tabular_plus_graph
0.07468126572693398,0.024886877828054297,884,HistGradientBoosting__tabular_plus_graph
0.5316975855736576,0.22737556561085973,884,HistGradientBoosting__tabular_plus_graph
4.764452751260251e-05,0.0,885,XGBoost__tabular_plus_graph
0.00013263094297144562,0.0,884,XGBoost__tabular_plus_graph
0.0002619376464281231,0.0,884,XGBoost__tabular_plus_graph
0.0004934287862852216,0.0022624434389140274,884,XGBoost__tabular_plus_graph
0.0011191817466169596,0.010180995475113122,884,XGBoost__tabular_plus_graph
0.0029507740400731564,0.06221719457013575,884,XGBoost__tabular_plus_graph
0.009856444783508778,0.07692307692307693,884,XGBoost__tabular_plus_graph
0.04440036043524742,0.04524886877828054,884,XGBoost__tabular_plus_graph
0.15332087874412537,0.02828054298642534,884,XGBoost__tabular_plus_graph
0.5945896506309509,0.23642533936651583,884,XGBoost__tabular_plus_graph
0.08423415301665918,0.05875706214689266,885,ExtraTrees__spectral_graph_embedding
0.12881363285772793,0.023755656108597284,884,ExtraTrees__spectral_graph_embedding
0.150847011471393,0.06779661016949153,885,ExtraTrees__spectral_graph_embedding
0.17158491938531287,0.032805429864253395,884,ExtraTrees__spectral_graph_embedding
0.18954835458048477,0.09513023782559456,883,ExtraTrees__spectral_graph_embedding
0.2077045321600359,0.039503386004514675,886,ExtraTrees__spectral_graph_embedding
0.22692534363426367,0.026077097505668934,882,ExtraTrees__spectral_graph_embedding
0.25500446969458407,0.048642533936651584,884,ExtraTrees__spectral_graph_embedding
0.3231839506913217,0.048642533936651584,884,ExtraTrees__spectral_graph_embedding
0.49389610017740554,0.020361990950226245,884,ExtraTrees__spectral_graph_embedding
0.011117102758273678,0.005649717514124294,885,HistGradientBoosting__spectral_graph_embedding
0.04352808641601696,0.013513513513513514,888,HistGradientBoosting__spectral_graph_embedding
0.09019002341789101,0.022675736961451247,882,HistGradientBoosting__spectral_graph_embedding
0.1411199203513862,0.08710407239819004,884,HistGradientBoosting__spectral_graph_embedding
0.20323288438589568,0.028312570781426953,883,HistGradientBoosting__spectral_graph_embedding
0.2766422809329942,0.0418552036199095,884,HistGradientBoosting__spectral_graph_embedding
0.3584564000594435,0.08886389201349831,889,HistGradientBoosting__spectral_graph_embedding
0.44041499757624597,0.053409090909090906,880,HistGradientBoosting__spectral_graph_embedding
0.4939334914944737,0.05895691609977324,882,HistGradientBoosting__spectral_graph_embedding
0.5800289691114927,0.06108597285067873,884,HistGradientBoosting__spectral_graph_embedding
0.0326341912150383,0.0022598870056497176,885,XGBoost__spectral_graph_embedding
0.10950986295938492,0.021493212669683258,884,XGBoost__spectral_graph_embedding
0.1876872479915619,0.033936651583710405,884,XGBoost__spectral_graph_embedding
0.2575090825557709,0.09615384615384616,884,XGBoost__spectral_graph_embedding
