model,policy,threshold,metric,point_estimate,ci_lower_95,ci_upper_95,n_test,bootstrap_resamples,tp,fp,tn,fn
Extra Trees,validation_precision_at_least_90pct,0.33209553501501665,predicted_positive_rate,0.037326094333220226,0.03370659427666554,0.0416270783847981,8841,1000,200,130,8303,208
HistGradientBoosting,default_0_50,0.5,accuracy,0.9630132337970818,0.9587150774799231,0.9669720619839385,8841,1000,196,115,8318,212
HistGradientBoosting,default_0_50,0.5,precision,0.6302250803858521,0.5705563063063063,0.6822429906542056,8841,1000,196,115,8318,212
HistGradientBoosting,default_0_50,0.5,recall,0.4803921568627451,0.43203021380444584,0.5260826308744256,8841,1000,196,115,8318,212
HistGradientBoosting,default_0_50,0.5,f1,0.545201668984701,0.4971076761629507,0.5872662042394965,8841,1000,196,115,8318,212
HistGradientBoosting,default_0_50,0.5,false_positives_per_true_positive,0.5867346938775511,0.4657534246575342,0.7526754385964912,8841,1000,196,115,8318,212
HistGradientBoosting,default_0_50,0.5,predicted_positive_rate,0.03517701617464088,0.03133129736455152,0.039248953738264904,8841,1000,196,115,8318,212
HistGradientBoosting,validation_max_f1,0.8607002779421482,accuracy,0.9735324058364438,0.9700260151566565,0.9769256871394638,8841,1000,192,18,8415,216
HistGradientBoosting,validation_max_f1,0.8607002779421482,precision,0.9142857142857143,0.8744174360172958,0.9497493173630711,8841,1000,192,18,8415,216
HistGradientBoosting,validation_max_f1,0.8607002779421482,recall,0.47058823529411764,0.4223918575063613,0.5184341201864566,8841,1000,192,18,8415,216
HistGradientBoosting,validation_max_f1,0.8607002779421482,f1,0.6213592233009708,0.5756097560975609,0.6636129999033225,8841,1000,192,18,8415,216
HistGradientBoosting,validation_max_f1,0.8607002779421482,false_positives_per_true_positive,0.09375,0.05290941697191697,0.14361854976766936,8841,1000,192,18,8415,216
HistGradientBoosting,validation_max_f1,0.8607002779421482,predicted_positive_rate,0.023752969121140142,0.02058590657165479,0.026920031670625493,8841,1000,192,18,8415,216
HistGradientBoosting,top_5pct_budget,0.9991630107162434,accuracy,0.9690080307657505,0.9652754213324285,0.9724013120687705,8841,1000,134,0,8433,274
