model,split,metric,point_estimate,ci_lower_95,ci_upper_95,n_test,positive_rate,bootstrap_resamples,k_for_precision_recall_at_k,model_family,train_seconds
HistGradientBoosting__node2vec_embedding,main_test,accuracy,0.5850016966406515,0.5752714625042417,0.5949581495305961,8841,0.04614862572107228,1000,443,feature_ablation,0.6065728664398193
HistGradientBoosting__node2vec_embedding,main_test,precision,0.054142739950779326,0.04745789878810163,0.0614918156833286,8841,0.04614862572107228,1000,443,feature_ablation,0.6065728664398193
HistGradientBoosting__node2vec_embedding,main_test,recall,0.4852941176470588,0.4380952380952381,0.5320285643406457,8841,0.04614862572107228,1000,443,feature_ablation,0.6065728664398193
HistGradientBoosting__node2vec_embedding,main_test,f1,0.0974169741697417,0.08607029730791214,0.10961425116592369,8841,0.04614862572107228,1000,443,feature_ablation,0.6065728664398193
HistGradientBoosting__node2vec_embedding,main_test,auroc,0.5481928778863615,0.5205284372845299,0.5750030816716092,8841,0.04614862572107228,1000,443,feature_ablation,0.6065728664398193
HistGradientBoosting__node2vec_embedding,main_test,auprc,0.05406484603161188,0.04796799308331776,0.0628099483457539,8841,0.04614862572107228,1000,443,feature_ablation,0.6065728664398193
HistGradientBoosting__node2vec_embedding,main_test,brier,0.2233251940683421,0.22125528897912536,0.22544320388567105,8841,0.04614862572107228,1000,443,feature_ablation,0.6065728664398193
HistGradientBoosting__node2vec_embedding,main_test,precision_at_k,0.06997742663656885,0.04966139954853273,0.09480812641083522,8841,0.04614862572107228,1000,443,feature_ablation,0.6065728664398193
HistGradientBoosting__node2vec_embedding,main_test,recall_at_k,0.07598039215686274,0.053395594105761175,0.10219913906045291,8841,0.04614862572107228,1000,443,feature_ablation,0.6065728664398193
XGBoost__node2vec_embedding,main_test,accuracy,0.6466463069788485,0.636689854088904,0.6559241036081891,8841,0.04614862572107228,1000,443,feature_ablation,1.0605320930480957
XGBoost__node2vec_embedding,main_test,precision,0.047634910059960026,0.04005361475126542,0.05564749468287411,8841,0.04614862572107228,1000,443,feature_ablation,1.0605320930480957
XGBoost__node2vec_embedding,main_test,recall,0.35049019607843135,0.30140488500623996,0.3931208793345996,8841,0.04614862572107228,1000,443,feature_ablation,1.0605320930480957
XGBoost__node2vec_embedding,main_test,f1,0.08387096774193549,0.0709586805579215,0.0971551254617653,8841,0.04614862572107228,1000,443,feature_ablation,1.0605320930480957
XGBoost__node2vec_embedding,main_test,auroc,0.48441696137722257,0.45410466987096626,0.5135222154709699,8841,0.04614862572107228,1000,443,feature_ablation,1.0605320930480957
XGBoost__node2vec_embedding,main_test,auprc,0.0445385311884922,0.03934447720904921,0.05096190965760348,8841,0.04614862572107228,1000,443,feature_ablation,1.0605320930480957
XGBoost__node2vec_embedding,main_test,brier,0.21477645428941686,0.21265735450096884,0.21685425751893006,8841,0.04614862572107228,1000,443,feature_ablation,1.0605320930480957
XGBoost__node2vec_embedding,main_test,precision_at_k,0.03160270880361174,0.01580135440180587,0.04966139954853273,8841,0.04614862572107228,1000,443,feature_ablation,1.0605320930480957
XGBoost__node2vec_embedding,main_test,recall_at_k,0.03431372549019608,0.01758465018358626,0.052509106896118575,8841,0.04614862572107228,1000,443,feature_ablation,1.0605320930480957
ExtraTrees__tabular_plus_graph_plus_node2vec,main_test,accuracy,0.9738717339667459,0.9703653432869584,0.9772650152697658,8841,0.04614862572107228,1000,443,feature_ablation,3.761176109313965
ExtraTrees__tabular_plus_graph_plus_node2vec,main_test,precision,0.9585492227979274,0.9301075268817204,0.9842166621216253,8841,0.04614862572107228,1000,443,feature_ablation,3.761176109313965
ExtraTrees__tabular_plus_graph_plus_node2vec,main_test,recall,0.4534313725490196,0.40540376541590134,0.49883651551312647,8841,0.04614862572107228,1000,443,feature_ablation,3.761176109313965
ExtraTrees__tabular_plus_graph_plus_node2vec,main_test,f1,0.6156405990016639,0.5683795249594439,0.6591320844141614,8841,0.04614862572107228,1000,443,feature_ablation,3.761176109313965
ExtraTrees__tabular_plus_graph_plus_node2vec,main_test,auroc,0.8517927062915762,0.8323770477543483,0.8716439748549026,8841,0.04614862572107228,1000,443,feature_ablation,3.761176109313965
ExtraTrees__tabular_plus_graph_plus_node2vec,main_test,auprc,0.5534244733185978,0.5071474463774218,0.598675679831437,8841,0.04614862572107228,1000,443,feature_ablation,3.761176109313965
ExtraTrees__tabular_plus_graph_plus_node2vec,main_test,brier,0.027905459310484874,0.025011896836264005,0.03080178812372658,8841,0.04614862572107228,1000,443,feature_ablation,3.761176109313965
ExtraTrees__tabular_plus_graph_plus_node2vec,main_test,precision_at_k,0.4469525959367946,0.3860045146726862,0.5034424379232505,8841,0.04614862572107228,1000,443,feature_ablation,3.761176109313965
ExtraTrees__tabular_plus_graph_plus_node2vec,main_test,recall_at_k,0.4852941176470588,0.43806303545999953,0.5325375745405866,8841,0.04614862572107228,1000,443,feature_ablation,3.761176109313965
HistGradientBoosting__tabular_plus_graph_plus_node2vec,main_test,accuracy,0.9560004524375071,0.9514732496323945,0.9601854993778984,8841,0.04614862572107228,1000,443,feature_ablation,5.397521257400513
HistGradientBoosting__tabular_plus_graph_plus_node2vec,main_test,precision,0.5256064690026954,0.47579889839174494,0.575377937171893,8841,0.04614862572107228,1000,443,feature_ablation,5.397521257400513
HistGradientBoosting__tabular_plus_graph_plus_node2vec,main_test,recall,0.47794117647058826,0.43041237113402064,0.5244793999104344,8841,0.04614862572107228,1000,443,feature_ablation,5.397521257400513
HistGradientBoosting__tabular_plus_graph_plus_node2vec,main_test,f1,0.5006418485237484,0.453804347826087,0.5413601584377096,8841,0.04614862572107228,1000,443,feature_ablation,5.397521257400513
HistGradientBoosting__tabular_plus_graph_plus_node2vec,main_test,auroc,0.8370823189942406,0.8195441983401544,0.8540907200367186,8841,0.04614862572107228,1000,443,feature_ablation,5.397521257400513
HistGradientBoosting__tabular_plus_graph_plus_node2vec,main_test,auprc,0.5307936541735256,0.4842726825429038,0.5739211697266645,8841,0.04614862572107228,1000,443,feature_ablation,5.397521257400513
HistGradientBoosting__tabular_plus_graph_plus_node2vec,main_test,brier,0.038099271711069804,0.03480916762541523,0.041746677939439716,8841,0.04614862572107228,1000,443,feature_ablation,5.397521257400513
HistGradientBoosting__tabular_plus_graph_plus_node2vec,main_test,precision_at_k,0.44469525959367945,0.3837471783295711,0.5011286681715575,8841,0.04614862572107228,1000,443,feature_ablation,5.397521257400513
HistGradientBoosting__tabular_plus_graph_plus_node2vec,main_test,recall_at_k,0.48284313725490197,0.43457915080189224,0.5268137035378415,8841,0.04614862572107228,1000,443,feature_ablation,5.397521257400513
XGBoost__tabular_plus_graph_plus_node2vec,main_test,accuracy,0.946159936658749,0.9411802963465672,0.9507974211062097,8841,0.04614862572107228,1000,443,feature_ablation,4.675184011459351
